file,parseTime,initTime,allCount,unknownCount,parseUPTime,initUPTime,allUPCount,unknownUPCount
fase-trainbenchmark-50_18.problem,241,916,747,276,251,1334,723,252
fase-trainbenchmark-50_19.problem,207,541,694,192,158,1153,684,182
fase-trainbenchmark-50_2.problem,114,351,722,232,121,684,714,224
fase-trainbenchmark-50_20.problem,220,662,802,286,226,1327,794,278
fase-trainbenchmark-50_21.problem,210,536,663,171,247,1209,659,167
fase-trainbenchmark-50_22.problem,157,517,691,189,144,812,658,154
fase-trainbenchmark-50_23.problem,99,263,801,308,110,544,761,266
fase-trainbenchmark-50_24.problem,177,628,683,170,171,1276,681,168
fase-trainbenchmark-50_25.problem,185,500,753,250,255,1257,705,200
fase-trainbenchmark-50_26.problem,127,375,685,192,136,751,669,176
fase-trainbenchmark-50_27.problem,120,377,814,260,127,737,806,252
fase-trainbenchmark-50_28.problem,213,619,725,233,231,1214,720,228
fase-trainbenchmark-50_29.problem,87,264,779,252,97,516,755,228
fase-trainbenchmark-50_3.problem,101,282,688,176,111,563,682,170
fase-trainbenchmark-50_30.problem,220,676,757,204,256,1353,743,190
fase-trainbenchmark-50_4.problem,168,772,714,206,176,850,696,188
fase-trainbenchmark-50_5.problem,187,577,680,189,186,1062,675,184
fase-trainbenchmark-50_6.problem,147,645,752,248,244,1312,743,239
fase-trainbenchmark-50_7.problem,87,266,839,356,97,504,772,289
fase-trainbenchmark-50_8.problem,138,413,998,429,169,792,901,330
fase-trainbenchmark-50_9.problem,177,519,701,226,183,1013,690,215
fase-trainbenchmark-60_1.problem,206,630,855,269,216,1236,841,255
fase-trainbenchmark-60_10.problem,229,613,1058,397,257,1081,1030,369
fase-trainbenchmark-60_11.problem,234,890,929,286,214,1260,880,235
fase-trainbenchmark-60_12.problem,266,431,1083,368,266,1266,1066,351
fase-trainbenchmark-60_13.problem,166,452,1027,342,202,881,1014,329
fase-trainbenchmark-60_14.problem,141,409,1078,408,262,1091,1067,397
fase-trainbenchmark-60_15.problem,219,500,887,265,184,783,876,254
fase-trainbenchmark-60_16.problem,173,426,988,297,193,1157,967,276
fase-trainbenchmark-60_17.problem,254,677,852,235,250,1311,835,218
fase-trainbenchmark-60_18.problem,152,411,885,261,161,840,857,233
fase-trainbenchmark-60_19.problem,187,484,944,337,215,1097,901,292
fase-trainbenchmark-60_2.problem,327,1041,894,284,238,1997,879,269
fase-trainbenchmark-60_20.problem,183,512,937,318,244,1179,912,293
fase-trainbenchmark-60_21.problem,189,423,876,247,293,1105,866,237
fase-trainbenchmark-60_22.problem,132,448,870,264,167,851,859,253
fase-trainbenchmark-60_23.problem,155,457,1012,406,316,977,993,387
fase-trainbenchmark-60_24.problem,254,726,849,215,255,1177,845,211
fase-trainbenchmark-60_25.problem,247,960,1091,378,273,1404,1051,338
fase-trainbenchmark-60_26.problem,254,785,944,310,318,1821,926,292
fase-trainbenchmark-60_27.problem,340,1273,992,306,292,2351,980,294
fase-trainbenchmark-60_28.problem,256,653,869,258,250,1269,860,249
fase-trainbenchmark-60_29.problem,163,484,1095,462,253,1164,1001,368
fase-trainbenchmark-60_3.problem,280,991,968,309,259,1861,956,297
